Cpo_Id;Billing_Agent_Keyword;Last_Update
FR*S13;GreenFlux;2024-12-01 00:00:00+00:00
BE*VCC;GreenFlux;2024-12-01 00:00:00+00:00
BE*IPK;GreenFlux;2024-12-01 00:00:00+00:00
BE*VIA;GreenFlux;2024-11-01 00:00:00+00:00
BE*SPK;GreenFlux;2024-11-01 00:00:00+00:00
NL*MBL;GreenFlux;2024-11-01 00:00:00+00:00
NL*GFX;GreenFlux;2024-11-01 00:00:00+00:00
IT*VCC;GreenFlux;2024-11-01 00:00:00+00:00
LU*VCC;GreenFlux;2024-11-01 00:00:00+00:00
NL*APC;GreenFlux;2024-11-01 00:00:00+00:00
NL*EVN;GreenFlux;2024-11-01 00:00:00+00:00
NL*VCC;GreenFlux;2024-11-01 00:00:00+00:00
GB*GFX;GreenFlux;2024-11-01 00:00:00+00:00
FR*370;Grupo;2024-11-01 00:00:00+00:00
FR*180;Grupo;2024-11-01 00:00:00+00:00
FR*720;Grupo;2024-11-01 00:00:00+00:00
IN*GTA;Grupo;2024-11-01 00:00:00+00:00
FR*400;Grupo;2024-11-01 00:00:00+00:00
DE*HHE;Hamburger;2024-12-01 00:00:00+00:00
DE*HHM;Hamburger;2024-12-01 00:00:00+00:00
DE*SNH;Hamburger;2024-03-01 00:00:00+00:00
FR*A16;Izivia;2024-11-01 00:00:00+00:00
FR*QPK;Izivia;2024-11-01 00:00:00+00:00
FR*SIG;Izivia;2024-11-01 00:00:00+00:00
FR*OTH;Izivia;2024-11-01 00:00:00+00:00
FR*URW;Izivia;2024-11-01 00:00:00+00:00
FR*GLY;Izivia;2024-11-01 00:00:00+00:00
FR*E04;Izivia;2024-11-01 00:00:00+00:00
FR*IZF;Izivia;2024-11-01 00:00:00+00:00
FR*IZM;Izivia;2024-11-01 00:00:00+00:00
FR*M06;Izivia;2024-11-01 00:00:00+00:00
FR*LGC;Izivia;2024-11-01 00:00:00+00:00
FR*IKA;Izivia;2024-11-01 00:00:00+00:00
FR*IIM;Izivia;2024-11-01 00:00:00+00:00
NL*LKS;Laadkompas;2024-10-01 00:00:00+00:00
NL*LNT;Laadnet;2024-11-01 00:00:00+00:00
CH*SWI;Liikennevirta;2024-12-01 00:00:00+00:00
FR*S51;Liikennevirta;2024-12-01 00:00:00+00:00
FR*S88;Liikennevirta;2024-12-01 00:00:00+00:00
FR*E10;Liikennevirta;2024-12-01 00:00:00+00:00
FR*S41;Liikennevirta;2024-11-01 00:00:00+00:00
FR*S37;Liikennevirta;2024-11-01 00:00:00+00:00
FR*S08;Liikennevirta;2024-11-01 00:00:00+00:00
DE*PFW;Liikennevirta;2024-11-01 00:00:00+00:00
FR*N54;Liikennevirta;2024-11-01 00:00:00+00:00
FR*S28;Liikennevirta;2024-11-01 00:00:00+00:00
DE*MDS;Mennekes;2024-11-01 00:00:00+00:00
AT*MER;Mer;2024-11-01 00:00:00+00:00
DE*MER;Mer;2024-11-01 00:00:00+00:00
FR*MW1;Mobilygreen;2024-12-01 00:00:00+00:00
FR*VIS;Mobilygreen;2024-07-01 00:00:00+00:00
NL*SGM;NRG;2024-12-01 00:00:00+00:00
FR*0NX;Nexteneo;2024-12-01 00:00:00+00:00
FR*SEV;Novaborne;2024-11-01 00:00:00+00:00
BE*BES;Optimile;2024-11-01 00:00:00+00:00
BE*D24;Optimile;2024-11-01 00:00:00+00:00
BE*ERS;Optimile;2024-11-01 00:00:00+00:00
BE*CAE;Optimile;2024-11-01 00:00:00+00:00
BE*BLO;Optimile;2024-11-01 00:00:00+00:00
BE*BST;Optimile;2024-11-01 00:00:00+00:00
BE*CPW;Optimile;2024-11-01 00:00:00+00:00
BE*DEC;Optimile;2024-11-01 00:00:00+00:00
BE*EDV;Optimile;2024-11-01 00:00:00+00:00
BE*OPL;Optimile;2024-11-01 00:00:00+00:00
BE*MBF;Optimile;2024-11-01 00:00:00+00:00
BE*P21;Optimile;2024-11-01 00:00:00+00:00
BE*QEV;Optimile;2024-11-01 00:00:00+00:00
BE*SMP;Optimile;2024-11-01 00:00:00+00:00
BE*PWL;Optimile;2024-11-01 00:00:00+00:00
BE*GOW;Optimile;2024-11-01 00:00:00+00:00
BE*EZC;Optimile;2024-11-01 00:00:00+00:00
BE*EMO;Optimile;2024-11-01 00:00:00+00:00
FR*MBP;Optimile;2024-11-01 00:00:00+00:00
BE*MBP;Optimile;2024-11-01 00:00:00+00:00
NL*DAE;Optimile;2024-11-01 00:00:00+00:00
CH*REP;Plugnroll;2024-08-01 00:00:00+00:00
FR*911;Porsche;2024-12-01 00:00:00+00:00
NL*911;Porsche;2024-12-01 00:00:00+00:00
ES*911;Porsche;2024-12-01 00:00:00+00:00
LU*911;Porsche;2024-11-01 00:00:00+00:00
SE*911;Porsche;2024-10-01 00:00:00+00:00
BE*911;Porsche;2024-03-01 00:00:00+00:00
DE*911;Porsche;2024-03-01 00:00:00+00:00
FR*_AD;Powerdot;2024-12-01 00:00:00+00:00
ES*_AD;Powerdot;2024-12-01 00:00:00+00:00
BE*_AD;Powerdot;2024-12-01 00:00:00+00:00
FR*QOV;Qovoltis;2024-11-01 00:00:00+00:00
FR*S69;Qovoltis;2024-11-01 00:00:00+00:00
DE*QWC;Qwello;2024-12-01 00:00:00+00:00
NL*QWC;Qwello;2024-11-01 00:00:00+00:00
DE*QRM;Qwello;2024-11-01 00:00:00+00:00
FR*QWC;Qwello;2024-11-01 00:00:00+00:00
FR*EVA;RSE;2024-12-01 00:00:00+00:00
FR*RSE;RSE;2024-11-01 00:00:00+00:00
FR*RMA;Rechargermonauto;2024-10-01 00:00:00+00:00
NL*RBC;RoboCharge;2024-12-01 00:00:00+00:00
FR*SEO;Seolis;2024-11-01 00:00:00+00:00
FR*SGA;SgaIndustrie;2024-12-01 00:00:00+00:00
FR*S27;Siege;2024-11-01 00:00:00+00:00
DE*EVR;Smartlab;2024-12-01 00:00:00+00:00
